source,target,weight
389,324,4
389,87,1
389,74,2
324,324,5
324,87,4
324,74,2
87,74,2
316,74,2
316,389,1
316,91,3
316,55,3
74,389,1
74,91,1
74,74,1
74,55,2
389,91,1
389,55,1
91,74,1
91,55,1
87,55,4
87,37,9
87,324,4
55,74,1
55,37,5
55,324,3
74,37,2
74,324,2
37,324,5
37,37,4
324,37,3
91,37,3
91,396,1
91,324,1
37,396,2
396,324,3
87,396,3
87,87,6
87,1034,11
87,316,4
324,396,4
324,1034,2
324,316,1
396,87,2
396,1034,2
396,316,1
1034,316,3
1034,87,4
1034,1034,4
316,87,2
316,1034,2
324,389,7
37,389,3
389,389,3
389,396,3
396,396,1
396,55,2
316,37,3
87,91,5
1034,37,7
1034,55,2
1034,91,5
37,316,1
37,55,1
37,91,4
37,87,2
37,1034,2
55,91,2
55,87,1
55,1034,1
91,87,1
91,1034,1
91,91,1
